(0,{,1)
(0,A,2)
(0,J,3)
(1,a,-4)
(1,d,-4)
(1,f,-4)
(1,g,-4)
(1,h,-4)
(1,{,-4)
(1,},-4)
(1,c,-4)
(1,D,4)
(2,$,-1)
(3,$,0)
(4,},-9)
(4,a,-9)
(4,d,-9)
(4,f,-9)
(4,g,-9)
(4,h,-9)
(4,{,-9)
(4,c,5)
(4,C,6)
(4,M,7)
(4,O,8)
(5,a,-7)
(5,[,-7)
(6,a,-3)
(6,d,-3)
(6,f,-3)
(6,g,-3)
(6,h,-3)
(6,{,-3)
(6,},-3)
(6,c,-3)
(7,a,9)
(7,d,10)
(7,f,11)
(7,g,12)
(7,h,13)
(7,{,14)
(7,},15)
(7,A,16)
(7,I,17)
(7,L,18)
(8,[,19)
(8,a,20)
(9,=,-18)
(9,[,-18)
(10,(,21)
(11,(,22)
(12,a,9)
(12,d,23)
(12,f,24)
(12,g,25)
(12,h,26)
(12,{,27)
(12,A,28)
(12,I,29)
(12,L,30)
(13,;,31)
(14,a,-4)
(14,d,-4)
(14,f,-4)
(14,g,-4)
(14,h,-4)
(14,{,-4)
(14,},-4)
(14,c,-4)
(14,D,32)
(15,$,-2)
(16,},-16)
(16,a,-16)
(16,d,-16)
(16,f,-16)
(16,g,-16)
(16,h,-16)
(16,{,-16)
(17,=,33)
(17,[,34)
(18,},-8)
(18,a,-8)
(18,d,-8)
(18,f,-8)
(18,g,-8)
(18,h,-8)
(18,{,-8)
(19,b,35)
(20,;,36)
(21,(,37)
(21,-,38)
(21,a,39)
(21,b,40)
(21,q,41)
(21,r,42)
(21,s,43)
(21,t,44)
(21,B,45)
(21,E,46)
(21,F,47)
(21,G,48)
(21,H,49)
(21,I,50)
(21,K,51)
(21,N,52)
(21,P,53)
(22,(,37)
(22,-,38)
(22,a,39)
(22,b,40)
(22,q,41)
(22,r,42)
(22,s,43)
(22,t,44)
(22,B,54)
(22,E,46)
(22,F,47)
(22,G,48)
(22,H,49)
(22,I,50)
(22,K,51)
(22,N,52)
(22,P,53)
(23,(,55)
(24,(,56)
(25,a,9)
(25,d,23)
(25,f,24)
(25,g,25)
(25,h,26)
(25,{,27)
(25,A,28)
(25,I,29)
(25,L,57)
(26,;,58)
(27,a,-4)
(27,d,-4)
(27,f,-4)
(27,g,-4)
(27,h,-4)
(27,{,-4)
(27,},-4)
(27,c,-4)
(27,D,59)
(28,f,-16)
(29,=,60)
(29,[,34)
(30,f,61)
(31,},-15)
(31,a,-15)
(31,d,-15)
(31,f,-15)
(31,g,-15)
(31,h,-15)
(31,{,-15)
(32,},-9)
(32,a,-9)
(32,d,-9)
(32,f,-9)
(32,g,-9)
(32,h,-9)
(32,{,-9)
(32,c,5)
(32,C,6)
(32,M,62)
(32,O,8)
(33,(,63)
(33,-,64)
(33,a,65)
(33,b,66)
(33,q,67)
(33,r,68)
(33,s,69)
(33,t,70)
(33,B,71)
(33,E,72)
(33,F,73)
(33,G,74)
(33,H,75)
(33,I,76)
(33,K,77)
(33,N,78)
(33,P,79)
(34,b,80)
(35,],81)
(36,a,-5)
(36,d,-5)
(36,f,-5)
(36,g,-5)
(36,h,-5)
(36,{,-5)
(36,},-5)
(36,c,-5)
(37,(,37)
(37,-,38)
(37,a,39)
(37,b,40)
(37,q,41)
(37,r,42)
(37,s,43)
(37,t,44)
(37,B,82)
(37,E,46)
(37,F,47)
(37,G,48)
(37,H,49)
(37,I,50)
(37,K,51)
(37,N,52)
(37,P,53)
(38,(,37)
(38,-,38)
(38,a,39)
(38,b,40)
(38,q,41)
(38,r,42)
(38,s,43)
(38,t,44)
(38,G,48)
(38,I,50)
(38,P,83)
(39,m,-18)
(39,n,-18)
(39,o,-18)
(39,p,-18)
(39,),-18)
(39,i,-18)
(39,j,-18)
(39,k,-18)
(39,l,-18)
(39,+,-18)
(39,-,-18)
(39,*,-18)
(39,/,-18)
(39,[,-18)
(40,m,-42)
(40,n,-42)
(40,o,-42)
(40,p,-42)
(40,),-42)
(40,i,-42)
(40,j,-42)
(40,k,-42)
(40,l,-42)
(40,+,-42)
(40,-,-42)
(40,*,-42)
(40,/,-42)
(41,(,37)
(41,-,38)
(41,a,39)
(41,b,40)
(41,q,41)
(41,r,42)
(41,s,43)
(41,t,44)
(41,G,48)
(41,I,50)
(41,P,84)
