状态栈		符号栈		输入		动作
0,		$,		{	移入到1
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,58,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,rel,		==	 归约56
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,		==	移入到96
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,		id	移入到47
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,47,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,id,		||	 归约57
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,57,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,loc,		||	 归约54
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,54,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,factor,		||	 归约59
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,59,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,unary,		||	 归约53
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,53,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,term,		||	 归约60
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,60,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,expr,		||	 归约144
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,96,144,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,==,rel,		||	 归约56
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,56,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,equality,		||	 归约55
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,55,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,join,		||	 归约52
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,		||	移入到92
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,		id	移入到47
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,47,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,id,		==	 归约57
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,57,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,loc,		==	 归约54
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,54,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,factor,		==	 归约59
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,59,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,unary,		==	 归约53
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,53,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,term,		==	 归约60
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,60,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,expr,		==	 归约58
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,58,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,rel,		==	 归约56
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,		==	移入到96
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,		id	移入到47
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,47,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,id,		&&	 归约57
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,57,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,loc,		&&	 归约54
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,54,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,factor,		&&	 归约59
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,59,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,unary,		&&	 归约53
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,53,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,term,		&&	 归约60
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,60,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,expr,		&&	 归约144
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,96,144,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,==,rel,		&&	 归约56
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,56,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,equality,		&&	 归约140
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,		&&	移入到95
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,		id	移入到47
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,47,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,id,		>	 归约57
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,57,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,loc,		>	 归约54
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,54,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,factor,		>	 归约59
0,1,4,7,13,31,61,105,14,32,62,13,31,61,105,14,32,62,10,29,52,92,140,95,59,		$,{,decls,stmts,while,(,bool,),{,decls,stmts,while,(,bool,),{,decls,stmts,if,(,bool,||,join,&&,unary,		>	 归约53
